No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
231,P.91,น้ำแม่ขอด,บ้านสันปู่เลย,พร้าว,เชียงใหม่,,,"WL,Q",,,,,,
232,P.92,น้ำแม่แตง,บ้านเมืองกึ๊ด,แม่แตง,เชียงใหม่,,,"WL,Q",3.5,2.8,3.5,331.25,239.8,331.25
233,P.92A,น้ำแม่แตง,บ้านห้วยป่าซาง,แม่แตง,เชียงใหม่,,,"WL,Q",,,,,,
234,P.93,น้ำแม่ริม,บ้านสลวงนอก,แม่ริม,เชียงใหม่,,,"WL,Q",,,,,,
235,P.94,น้ำแม่แจ่ม,บ้านเจียง,แม่แจ่ม,เชียงใหม่,,,"WL,Q",,,,,,
236,P.103,แม่น้ำปิง,บ้านป่าข่อยใต้,เมือง,เชียงใหม่,18.868347,98.976936,"WL,Q",6.8,5.44,6.8,475.8,322,475.8
237,P.104,แม่น้ำปิง,สะพานป่าแดด-ท่าวังตาล,สารภี,เชียงใหม่,,,"WL,Q",,,,,,
238,P.105,น้ำแม่ขนาด,บ้านแม่ขนาด,แม่ทา,ลำพูน,,,"WL,Q",,,,,,
239,W.1C,แม่น้ำวัง,สะพานเสตุวารี,เมือง,ลำปาง,18.299727,99.511229,"WL,Q",5.2,4.16,5.2,487,358.4,487
240,W.3A,แม่น้ำวัง,บ้านดอนชัย,เถิน,ลำปาง,17.641486,99.232012,"WL,Q",4.8,3.84,4.8,850,633.8,850
241,W.4A,แม่น้ำวัง,บ้านวังหมัน,สามเงา,ตาก,17.204989,99.098121,"WL,Q",,,,,,
242,W.5A,แม่น้ำวัง,บ้านเกาะคา,เกาะคา,ลำปาง,18.191542,99.396875,WL,,,,,,
243,W.6B,แม่น้ำวัง,บ้านหล่าย,สบปราบ,ลำปาง,,,"WL,Q",,,,,,
244,W.10B,แม่น้ำวัง,บ้านดอนมูล,เมือง,ลำปาง,18.518504,99.632773,"WL,Q",6.6,5.28,6.6,436,282.8,436
245,W.16A,แม่น้ำวัง,บ้านไฮ,แจ้ห่ม,ลำปาง,,,"WL,Q,R",,,,,,
246,W.17,น้ำแม่สอย,บ้านหนองนาว,แจ้ห่ม,ลำปาง,,,"WL,Q",,,,,,
247,W.18A,น้ำแม่ต๋ำ,บ้านสบต๋ำ,เกาะคา,ลำปาง,,,WL,,,,,,
248,W.20,น้ำแม่ตุ๋ย,บ้านท่าล้อ,เมือง,ลำปาง,,,"WL,Q",,,,,,
249,W.21,แม่น้ำวัง,บ้านท่าเดื่อ,เมือง,ลำปาง,,,"WL,Q",,,,,,
250,W.22,น้ำแม่จาง,บ้านวังพร้าว,เกาะคา,ลำปาง,,,"WL,Q",,,,,,
251,W.23,แม่น้ำวัง,บ้านแม่เชียงราย,สามเงา,ตาก,17.366609,99.113013,"WL,Q",,,,,,
252,W.24,แม่น้ำวัง,บ้านท่าไผ่,สามเงา,ตาก,17.321647,99.077219,"WL,Q",,,,,,
253,W.25,แม่น้ำวัง,บ้านร่องเคาะ,วังเหนือ,ลำปาง,,,"WL,Q",,,,,,
254,W.26,ห้วยแม่ต๋า,บ้านเมืองมาย,แจ้ห่ม,ลำปาง,,,"WL,Q",,,,,,
255,Y.1C,แม่น้ำยม,บ้านน้ำโค้ง,เมือง,แพร่,18.1339,100.124816,"WL,Q,R",8.2,7,8.2,1000,796,1000
256,Y.3A,แม่น้ำยม,บ้านวังไม้ขอน,สวรรคโลก,สุโขทัย,17.312876,99.826808,"WL,Q",,,,,,
257,Y.4,แม่น้ำยม,ในเมือง,เมือง,สุโขทัย,17.006364,99.822109,"WL,Q",,,,,,
258,Y.5,แม่น้ำยม,หน้าอำเภอโพทะเล,โพทะเล,พิจิตร,16.094812,100.259902,WL,,,,,,
259,Y.6,แม่น้ำยม,บ้านแก่งหลวง,ศรีสัชนาลัย,สุโขทัย,,,"WL,R",,,,,,
260,Y.6A,แม่น้ำยม,บ้านป่ากล้วย,ศรีสัชนาลัย,สุโขทัย,17.431138,99.801262,"WL,Q",,,,,,
261,Y.13A,น้ำงาว,บ้านหลวงเหนือ,งาว,ลำปาง,,,"WL,Q",,,,,,
262,Y.14,แม่น้ำยม,บ้านดอนระเบียง,ศรีสัชนาลัย,สุโขทัย,,,WL,,,,,,
263,Y.14B,แม่น้ำยม,บ้านป่างิ้ว,ศรีสัชนาลัย,สุโขทัย,17.551272,99.770856,"WL,Q",,,,,,
264,Y.15,แม่น้ำยม,บ้านกง,กงไกรลาศ,สุโขทัย,16.927435,99.959437,"WL,Q",,,,,,
265,Y.16,แม่น้ำยม,บางระกำ,บางระกำ,พิษณุโลก,16.75792,100.115579,"WL,Q",,,,,,
266,Y.17,แม่น้ำยม,สามง่าม,สามง่าม,พิจิตร,16.507438,100.204084,"WL,Q",,,,,,
267,Y.20,แม่น้ำยม,บ้านห้วยสัก,สอง,แพร่,18.586133,100.151335,"WL,Q,R",9,7.5,9,865,588,865
268,Y.21,ห้วยแม่สิน,บ้านนาปลากลั้ง,ศรีสัชนาลัย,สุโขทัย,17.79234,99.787034,"WL,Q",,,,,,
269,Y.24,น้ำปี้,บ้านมาง,เชียงม่วน,พะเยา,,,"WL,Q,R",,,,,,
270,Y.26,ห้วยแม่มอก,บ้านแม่พุ,เถิน,ลำปาง,17.331887,99.46181,"WL,Q,R",,,,,,
271,Y.29,ห้วยแม่ฮู้,บ้านแม่ฮู้,ศรีสัชนาลัย,สุโขทัย,,,"WL,Q",,,,,,
272,Y.30,ห้วยโป่ง,บ้านโป่ง,งาว,ลำปาง,,,"WL,Q",4.3,3.44,4.3,156.95,111.07,156.95
273,Y.31,แม่น้ำยม,บ้านทุ่งหนอง,เชียงม่วน,พะเยา,,,"WL,Q",6,4.8,6,500,222,500
274,Y.33,แม่น้ำยม,บ้านคลองตาล,ศรีสำโรง,สุโขทัย,17.16888,99.860987,"WL,Q",,,,,,
275,Y.34,น้ำแม่หล่าย,บ้านแม่หล่าย,เมือง,แพร่,,,"WL,Q",,,,,,
276,Y.36,น้ำควร,บ้านป่าคา,ปง,พะเยา,,,"WL,Q",,,,,,
277,Y.37,แม่น้ำยม,บ้านวังชิ้น,วังชิ้น,แพร่,17.901185,99.605655,"WL,Q",11,8.8,11,1325.6,810.8,1325.6
278,Y.38,น้ำแม่คำมี,บ้านแม่คำมีตำหนักธรรม,หนองม่วงไข่,แพร่,,,"WL,Q",,,,,,
279,Y.40,แม่น้ำยม,หน้าวัดคงคาราม,โพทะเล,พิจิตร,,,WL,,,,,,
280,Y.42,แม่น้ำยม,ท่าบัวทอง,โพธิ์ประทับช้าง,พิจิตร,,,"WL,Q",,,,,,
281,Y.50,แม่น้ำยม,บ้านท่านางงาม,บางระกำ,พิษณุโลก,16.785475,100.088495,"WL,Q",,,,,,
282,Y.51,แม่น้ำยม,บ้านท่าแห,บางระกำ,พิษณุโลก,16.655773,100.191033,"WL,Q",,,,,,
283,Y.52,แม่น้ำยม,บ้านวังจิก,โพธิ์ประทับช้าง,พิจิตร,16.357421,100.263786,"WL,Q",,,,,,
284,Y.64,แม่น้ำยม,บางระกำ,บางระกำ,พิษณุโลก,16.76212,100.1212,"WL,Q",,,,,,
285,Y.65,น้ำปี้,บ้านพี้ใต้,บ้านหลวง,น่าน,,,"WL,Q",,,,,,
286,Y.66,แม่น้ำยม,บ้านวังดิน,สอง,แพร่,,,"WL,Q",,,,,,
287,Y.67,แม่น้ำยม,บ้านหนุนใต้,สอง,แพร่,,,"WL,Q",,,,,,
288,N.1,แม่น้ำน่าน,หน้าสำนักงานป่าไม้,เมือง,น่าน,18.774878,100.779684,"WL,Q",7,5.5,7,1066,705,1066
289,N.2B,แม่น้ำน่าน,ในเมือง,เมือง,อุตรดิตถ์,17.60987,100.099609,"WL,Q",,,,,,
290,N.5A,แม่น้ำน่าน,ในเมือง,เมือง,พิษณุโลก,16.806075,100.245829,"WL,Q",,,,,,
291,N.7A,แม่น้ำน่าน,บ้านราชช้างขวัญ,เมือง,พิจิตร,16.469504,100.330875,"WL,Q",,,,,,
